15min_bin,glucose
2019-08-03 19:30:00,5.4
2019-08-03 19:45:00,5.3
2019-08-03 20:00:00,5.25
2019-08-03 20:15:00,5.2
2019-08-03 20:30:00,5.3
2019-08-03 20:45:00,5.8
2019-08-03 21:00:00,6.0
2019-08-03 21:15:00,5.8
2019-08-03 21:30:00,5.7
2019-08-03 21:45:00,5.7
2019-08-03 22:00:00,5.7
2019-08-03 22:15:00,5.6
2019-08-03 22:30:00,5.4
2019-08-03 22:45:00,5.4
2019-08-03 23:00:00,5.6
2019-08-03 23:15:00,5.7
2019-08-03 23:30:00,5.8
2019-08-03 23:45:00,5.8
2019-08-04 00:00:00,6.0
2019-08-04 00:15:00,6.050000000000001
2019-08-04 00:30:00,6.15
2019-08-04 00:45:00,6.1
2019-08-04 01:00:00,5.9
2019-08-04 01:15:00,5.7
2019-08-04 01:30:00,5.7
2019-08-04 01:45:00,5.6
2019-08-04 02:00:00,5.9
2019-08-04 02:15:00,5.9
2019-08-04 02:30:00,5.9
2019-08-04 02:45:00,5.199999999999999
2019-08-04 03:00:00,5.7
2019-08-04 03:15:00,6.0
2019-08-04 03:30:00,6.1
2019-08-04 03:45:00,6.0
2019-08-04 04:00:00,5.9
2019-08-04 04:15:00,6.3
2019-08-04 04:30:00,6.2
2019-08-04 04:45:00,6.2
2019-08-04 05:00:00,6.2
2019-08-04 05:15:00,6.0
2019-08-04 05:30:00,
2019-08-04 05:45:00,6.0
2019-08-04 06:00:00,5.8
2019-08-04 06:15:00,5.8
2019-08-04 06:30:00,5.8
2019-08-04 06:45:00,5.6
2019-08-04 07:00:00,5.6
2019-08-04 07:15:00,6.1
2019-08-04 07:30:00,6.3
2019-08-04 07:45:00,5.9
2019-08-04 08:00:00,5.3
2019-08-04 08:15:00,5.4
2019-08-04 08:30:00,5.7
2019-08-04 08:45:00,5.6
2019-08-04 09:00:00,5.6
2019-08-04 09:15:00,6.0
2019-08-04 09:30:00,6.3
2019-08-04 09:45:00,5.9
2019-08-04 10:00:00,5.6
2019-08-04 10:15:00,6.033333333333334
2019-08-04 10:30:00,6.4
2019-08-04 10:45:00,6.9
2019-08-04 11:00:00,7.1
2019-08-04 11:15:00,6.7
2019-08-04 11:30:00,5.9
2019-08-04 11:45:00,5.4
2019-08-04 12:00:00,5.4
2019-08-04 12:15:00,5.3
2019-08-04 12:30:00,4.9
2019-08-04 12:45:00,5.5
2019-08-04 13:00:00,
2019-08-04 13:15:00,
2019-08-04 13:30:00,
2019-08-04 13:45:00,
2019-08-04 14:00:00,
2019-08-04 14:15:00,
2019-08-04 14:30:00,
2019-08-04 14:45:00,
2019-08-04 15:00:00,
2019-08-04 15:15:00,
2019-08-04 15:30:00,
2019-08-04 15:45:00,
2019-08-04 16:00:00,
2019-08-04 16:15:00,
2019-08-04 16:30:00,
2019-08-04 16:45:00,
2019-08-04 17:00:00,5.6
2019-08-04 17:15:00,5.8
2019-08-04 17:30:00,6.1
2019-08-04 17:45:00,5.9
2019-08-04 18:00:00,5.8
2019-08-04 18:15:00,5.7
2019-08-04 18:30:00,5.2
2019-08-04 18:45:00,4.2
2019-08-04 19:00:00,4.1
2019-08-04 19:15:00,4.4
2019-08-04 19:30:00,4.2
2019-08-04 19:45:00,4.1
2019-08-04 20:00:00,4.2
2019-08-04 20:15:00,3.8
2019-08-04 20:30:00,4.3
2019-08-04 20:45:00,5.6
2019-08-04 21:00:00,5.8
2019-08-04 21:15:00,5.8
